movieId,title,genres,year,poster_url
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,https://image.tmdb.org/t/p/w500/dummy_862.jpg
2,Jumanji (1995),Adventure|Children|Fantasy,1995,https://image.tmdb.org/t/p/w500/dummy_8844.jpg
3,Grumpier Old Men (1995),Comedy|Romance,1995,https://image.tmdb.org/t/p/w500/dummy_15602.jpg
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995,https://image.tmdb.org/t/p/w500/dummy_31357.jpg
5,Father of the Bride Part II (1995),Comedy,1995,https://image.tmdb.org/t/p/w500/dummy_11862.jpg
6,Heat (1995),Action|Crime|Thriller,1995,https://image.tmdb.org/t/p/w500/dummy_949.jpg
7,Sabrina (1995),Comedy|Romance,1995,https://image.tmdb.org/t/p/w500/dummy_11860.jpg
8,Tom and Huck (1995),Adventure|Children,1995,https://image.tmdb.org/t/p/w500/dummy_45325.jpg
9,Sudden Death (1995),Action,1995,https://image.tmdb.org/t/p/w500/dummy_9091.jpg
10,GoldenEye (1995),Action|Adventure|Thriller,1995,https://image.tmdb.org/t/p/w500/dummy_710.jpg
11,"American President, The (1995)",Comedy|Drama|Romance,1995,https://image.tmdb.org/t/p/w500/dummy_9087.jpg
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,https://image.tmdb.org/t/p/w500/dummy_12110.jpg
13,Balto (1995),Adventure|Animation|Children,1995,https://image.tmdb.org/t/p/w500/dummy_21032.jpg
14,Nixon (1995),Drama,1995,https://image.tmdb.org/t/p/w500/dummy_10858.jpg
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,https://image.tmdb.org/t/p/w500/dummy_1408.jpg
16,Casino (1995),Crime|Drama,1995,https://image.tmdb.org/t/p/w500/dummy_524.jpg
17,Sense and Sensibility (1995),Drama|Romance,1995,https://image.tmdb.org/t/p/w500/dummy_4584.jpg
18,Four Rooms (1995),Comedy,1995,https://image.tmdb.org/t/p/w500/dummy_5.jpg
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,https://image.tmdb.org/t/p/w500/dummy_9273.jpg
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995,https://image.tmdb.org/t/p/w500/dummy_11517.jpg
21,Get Shorty (1995),Comedy|Crime|Thriller,1995,https://image.tmdb.org/t/p/w500/dummy_8012.jpg
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995,https://image.tmdb.org/t/p/w500/dummy_1710.jpg
23,Assassins (1995),Action|Crime|Thriller,1995,https://image.tmdb.org/t/p/w500/dummy_9691.jpg
24,Powder (1995),Drama|Sci-Fi,1995,https://image.tmdb.org/t/p/w500/dummy_12665.jpg
25,Leaving Las Vegas (1995),Drama|Romance,1995,https://image.tmdb.org/t/p/w500/dummy_451.jpg
26,Othello (1995),Drama,1995,https://image.tmdb.org/t/p/w500/dummy_16420.jpg
27,Now and Then (1995),Children|Drama,1995,https://image.tmdb.org/t/p/w500/dummy_9263.jpg
28,Persuasion (1995),Drama|Romance,1995,https://image.tmdb.org/t/p/w500/dummy_17015.jpg
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,https://image.tmdb.org/t/p/w500/dummy_902.jpg
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995,https://image.tmdb.org/t/p/w500/dummy_37557.jpg
31,Dangerous Minds (1995),Drama,1995,https://image.tmdb.org/t/p/w500/dummy_9909.jpg
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995,https://image.tmdb.org/t/p/w500/dummy_63.jpg
34,Babe (1995),Children|Drama,1995,https://image.tmdb.org/t/p/w500/dummy_9598.jpg
36,Dead Man Walking (1995),Crime|Drama,1995,https://image.tmdb.org/t/p/w500/dummy_687.jpg
38,It Takes Two (1995),Children|Comedy,1995,https://image.tmdb.org/t/p/w500/dummy_33689.jpg
39,Clueless (1995),Comedy|Romance,1995,https://image.tmdb.org/t/p/w500/dummy_9603.jpg
40,"Cry, the Beloved Country (1995)",Drama,1995,https://image.tmdb.org/t/p/w500/dummy_34615.jpg
41,Richard III (1995),Drama|War,1995,https://image.tmdb.org/t/p/w500/dummy_31174.jpg
42,Dead Presidents (1995),Action|Crime|Drama,1995,https://image.tmdb.org/t/p/w500/dummy_11443.jpg
43,Restoration (1995),Drama,1995,https://image.tmdb.org/t/p/w500/dummy_35196.jpg
44,Mortal Kombat (1995),Action|Adventure|Fantasy,1995,https://image.tmdb.org/t/p/w500/dummy_9312.jpg
45,To Die For (1995),Comedy|Drama|Thriller,1995,https://image.tmdb.org/t/p/w500/dummy_577.jpg
46,How to Make an American Quilt (1995),Drama|Romance,1995,https://image.tmdb.org/t/p/w500/dummy_11861.jpg
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1995,https://image.tmdb.org/t/p/w500/dummy_807.jpg
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1995,https://image.tmdb.org/t/p/w500/dummy_10530.jpg
49,When Night Is Falling (1995),Drama|Romance,1995,https://image.tmdb.org/t/p/w500/dummy_8391.jpg
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995,https://image.tmdb.org/t/p/w500/dummy_629.jpg
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,1995,https://image.tmdb.org/t/p/w500/dummy_11448.jpg
53,Lamerica (1994),Adventure|Drama,1994,https://image.tmdb.org/t/p/w500/dummy_49133.jpg
54,"Big Green, The (1995)",Children|Comedy,1995,https://image.tmdb.org/t/p/w500/dummy_26441.jpg
55,Georgia (1995),Drama,1995,https://image.tmdb.org/t/p/w500/dummy_97406.jpg
57,Home for the Holidays (1995),Drama,1995,https://image.tmdb.org/t/p/w500/dummy_9089.jpg
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1994,https://image.tmdb.org/t/p/w500/dummy_11010.jpg
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,1995,https://image.tmdb.org/t/p/w500/dummy_11359.jpg
61,Eye for an Eye (1996),Drama|Thriller,1996,https://image.tmdb.org/t/p/w500/dummy_17182.jpg
